Nombre	Categoría	Subcategoría	Descripción	Fotos	Horarios	Ubicación
Modas Lis	Compras y Comercio	Indumentaria	Tienda de ropa y moda.			
Energía	Compras y Comercio	Indumentaria	Tienda de indumentaria.			
Morena Kids	Compras y Comercio	Indumentaria	Ropa infantil y para niños.			
Jazmín	Compras y Comercio	Indumentaria	Tienda de indumentaria.			
Cereza Jeans	Compras y Comercio	Indumentaria	Especialistas en indumentaria de denim y jeans.			
Como te ven te tratan	Compras y Comercio	Indumentaria	Tienda de indumentaria y moda.			
Mercado Deportivo	Compras y Comercio	Indumentaria	Ropa y accesorios deportivos.			
Florentina	Gastronomía y Alimentos	Supermercados	Supermercado y abastecimiento general.			
Almacor	Gastronomía y Alimentos	Supermercados	Cadena de supermercados.			
Verdulería Vanesa	Gastronomía y Alimentos	Frescos	Frutas y verduras frescas (Verdulería).			
Verdulería Pera Loca	Gastronomía y Alimentos	Frescos	Frutas y verduras frescas (Verdulería).			
Carnicería García	Gastronomía y Alimentos	Frescos	Cortes de carne y embutidos (Carnicería).			
Carnicería Central	Gastronomía y Alimentos	Frescos	Cortes de carne y embutidos (Carnicería).			
Don Pedro	Gastronomía y Alimentos	Abastecimiento	Almacén de barrio y alimentos.			
Panadería Falappa	Gastronomía y Alimentos	Frescos	Panificados y facturas artesanales (Panadería).			
Panadería Santa Ana	Gastronomía y Alimentos	Frescos	Panificados y repostería (Panadería).			
La Nona Tita	Gastronomía y Alimentos	Frescos	Especialidades en panadería tradicional.			
Panadería 9 de Julio	Gastronomía y Alimentos	Frescos	Panificados frescos todos los días.			
Kioskocho	Gastronomía y Alimentos	Abastecimiento	Kiosco con variedad de productos.			
Kiosko El Pulpo	Gastronomía y Alimentos	Abastecimiento	Kiosco y golosinas.			
La Casona	Gastronomía y Alimentos	Abastecimiento	Almacén y ramos generales.			
La vieja esquina	Gastronomía y Alimentos	Abastecimiento	Almacén tradicional de barrio.			
Chupelupe	Gastronomía y Alimentos	Abastecimiento	Kiosco y golosinas.			
Del Valle Almacén Saludable	Gastronomía y Alimentos	Abastecimiento	Productos dietéticos y naturales.			
Bionatural	Gastronomía y Alimentos	Abastecimiento	Productos orgánicos y saludables.			
Chiquito cafetería y cocina de autora	Gastronomía y Alimentos	Gastronomía	Café de especialidad y cocina gourmet.			
Rico y abundante	Gastronomía y Alimentos	Gastronomía	Restaurante y comidas preparadas.			
Carajo	Gastronomía y Alimentos	Gastronomía	Gastronomía local.			
Rotisería Ave Fénix	Gastronomía y Alimentos	Gastronomía	Comidas para llevar y rotisería.			
Ramos Generales	Gastronomía y Alimentos	Gastronomía	Restaurante y bar tradicional.			
Grido Heladería	Gastronomía y Alimentos	Gastronomía	Cadena de helados y postres.			
METAL-FERR	Hogar	Ferreterías	Ferretería y materiales de construcción.			
JCL Ferretería	Hogar	Ferreterías	Artículos de ferretería y hogar.			
Los Pinos	Hogar	Ferreterías	Ferretería y herramientas.			
Colorshop	Hogar	Pinturería	Venta de pinturas y accesorios.			
Estancia Santa Francisca	Comunidad e Industria	Industrias	Establecimiento agroindustrial.			
Chacinados de Marcelo Magnotti	Comunidad e Industria	Industrias	Producción de chacinados artesanales.			
Nutrifarms	Comunidad e Industria	Industrias	Industria de nutrición animal.			
Silvia peluquería unisex	Salud y Bienestar	Peluquería	Cortes y tratamientos capilares.			
Peluquería Víctor	Salud y Bienestar	Peluquería	Servicios de peluquería.			
Samira salón de belleza	Salud y Bienestar	Estética	Tratamientos de belleza y manicuría.			
Andrea stetic	Salud y Bienestar	Estética	Centro de estética y cuidado personal.			
YPF Frappa y Moine	Servicios y Vehículos	Automotor	Combustibles y servicios al viajero (Estación de Servicio).			
Shell	Servicios y Vehículos	Automotor	Estación de servicio y tienda.			
Taller Alejandro	Servicios y Vehículos	Automotor	Mecánica general del automotor (Taller).			
El Baty	Servicios y Vehículos	Automotor	Taller mecánico especializado.			
Bicicletería Boaglio	Servicios y Vehículos	Automotor	Venta y reparación de bicicletas.			
Gomería La Victoria	Servicios y Vehículos	Automotor	Servicios de gomería y neumáticos.			
Venier hogar	Hogar	Electrodomésticos	Venta de electrodomésticos y muebles.			
Genesio	Hogar	Electrodomésticos	Artículos para el hogar y tecnología.			
Starcom	Hogar	Cultura y Ocio	Electrónica y telefonía celular.			
Tecnocell	Hogar	Cultura y Ocio	Servicio técnico y venta de celulares.			
AyF Computación	Hogar	Cultura y Ocio	Insumos informáticos y servicio técnico.			
Zoom rural	Salud y Bienestar	Animal y Naturaleza	Atención veterinaria y productos rurales (Veterinaria).			
Mundo Zoo	Salud y Bienestar	Animal y Naturaleza	Veterinaria y pet shop.			
Poca Pulga	Salud y Bienestar	Animal y Naturaleza	Servicios para mascotas y accesorios (Veterinaria).			
Mundo Verde	Salud y Bienestar	Animal y Naturaleza	Plantas, flores y artículos de jardín (Vivero).			
Paseo de las flores	Salud y Bienestar	Animal y Naturaleza	Venta de plantas y decoración exterior (Vivero).			
Simonetto Profumería	Salud y Bienestar	Humana	Perfumería y cosmética.			
Mis Soles	Compras y Comercio	Hogar	Bazar y artículos de regalo.			
Silvana joyas	Compras y Comercio	Moda	Joyería y relojería.			
Tutti	Compras y Comercio	Hogar	Bazar y multirubro.			
Veo Veo	Compras y Comercio	Hogar	Tienda de regalos y novedades.			
MarPlast descartables	Compras y Comercio	Hogar	Venta de productos descartables y envases.			
Librería Manolito	Compras y Comercio	Cultura y Ocio	Artículos escolares y de oficina (Librería).			
Imprenta Salto	Servicios y Vehículos	Profesionales	Servicios de impresión y diseño gráfico.			
Mundo Casta	Compras y Comercio	Hogar	Bazar y artículos para el hogar.			
Batler	Compras y Comercio	Hogar	Tienda y regalería.			
Hotelería Mercedes Martín	Turismo y Hospedaje	Alojamiento	Servicio de alojamiento y hotel.			
San Miguel plaza hotel	Turismo y Hospedaje	Alojamiento	Hotel con servicios premium.			
Residencial Mariana Calderon	Turismo y Hospedaje	Alojamiento	Alojamiento residencial.			
Service DPA	Servicios y Vehículos	Profesionales	Servicios técnicos y generales.			
F y M Cyber	Servicios y Vehículos	Profesionales	Centro de navegación y trámites online.			
Tapicería Ludueña	Servicios y Vehículos	Profesionales	Servicios de tapicería profesional.			
Peralta Rodrigo	Servicios y Vehículos	Profesionales	Gestión inmobiliaria y propiedades.			
Inmobiliaria Quinteros	Servicios y Vehículos	Profesionales	Venta y alquiler de inmuebles.			
Federación	Servicios y Vehículos	Profesionales	Servicios de seguros y previsión.			
Sánchez Automotores	Servicios y Vehículos	Automotor	Venta de autos usados y nuevos.			
Venier Motos	Servicios y Vehículos	Automotor	Venta de motos y accesorios.			
Rancho Padel	Turismo y Hospedaje	Recreación	Canchas de pádel y recreación.			
Navarro Tenis Club	Turismo y Hospedaje	Recreación	Club de tenis y entrenamiento.			
Club Juventud Alianza	Comunidad e Industria	Instituciones	Institución deportiva y social.			
Club Cultural y Deportivo Unión	Comunidad e Industria	Instituciones	Club social con diversas disciplinas.			